Round Number,Client 0 NMSE,Client 1 NMSE,Client 2 NMSE,Client 3 NMSE,Client 4 NMSE,Client 5 NMSE,Client 6 NMSE,Client 7 NMSE,Client 8 NMSE,Client 9 NMSE,Client 10 NMSE,Client 11 NMSE,Client 12 NMSE,Client 13 NMSE,Client 14 NMSE,Client 15 NMSE,Client 16 NMSE,Client 17 NMSE,Client 18 NMSE,Client 19 NMSE,Client 20 NMSE,Client 21 NMSE,Client 22 NMSE,Client 23 NMSE,Client 24 NMSE,Client 25 NMSE,Client 26 NMSE,Client 27 NMSE,Client 28 NMSE,Client 29 NMSE,Client 30 NMSE,Client 31 NMSE,Client 32 NMSE,Client 33 NMSE,Client 34 NMSE,Client 35 NMSE,Client 36 NMSE,Client 37 NMSE,Client 38 NMSE,Client 39 NMSE,Client 40 NMSE,Client 41 NMSE,Client 42 NMSE,Client 43 NMSE,Client 44 NMSE,Client 45 NMSE,Client 46 NMSE,Client 47 NMSE,Client 48 NMSE,Client 49 NMSE
0,1.429072984560268,1.3059168461932251,1.5562646032318357,1.407318399441953,1.6202588719645823,1.4498754842391868,1.6527264136967696,1.4760361601974792,1.6790108417901466,1.513551718351857,1.7694709807869018,1.5907143914936397,1.813307146387776,1.60539039712868,1.826228682450422,1.6333714226223777,1.8466831192256896,1.708138067990739,1.9265488376767617,1.8460179006816535,2.1035057353222464,2.053420906824781,2.394195428983433,2.3388774189727988,2.7999879806999144,2.703669213301299,3.3184689799631677,3.146349673239601,4.122353726484644,3.858973332588247,6.680307613583062,4.927730560302735,5.097168824804111,4.930089483197952,6.278377442848026,4.872021769845723,6.736802679347241,4.678088308170143,4.5742917248583215,4.795927085623837,6.23703303299551,4.948927708808951,6.621513216514287,4.945977949938238,6.606870936596487,4.73262458447589,6.739867953803596,4.971145162519241,6.38608481940322,3.896250314270424
1,6.7708758857306535,4.891709460327958,6.345055797907311,5.02772962810188,6.46385658444382,5.033523357467147,6.795615098607821,3.4148592033133607,6.478872824841597,4.947038044203197,4.3333004778764375,4.742160064495163,4.885231979249969,4.983533770832795,6.224446784792923,4.849599055107067,6.774707103338767,3.655503443534801,6.400033244936485,3.424319526217632,6.6907860162689925,3.860754050955868,6.721676803949311,3.49439595708784,6.8349275063342,3.9969286381803606,6.824579013614204,5.040745072017443,6.855237765575018,4.84598551364924,6.796920205664446,3.680117082911612,6.650367496520516,5.066010809892061,6.611100895198312,4.86783633958425,4.186270180649645,4.890397684463602,6.830301059512641,3.5341202818005297,6.834546787532296,5.136954705446762,6.80422369889387,5.099924036998623,6.8791104113961765,4.193323337479144,6.795141265148253,4.869135799786903,5.236849446934978,4.902873449767663
2,7.077557270921122,7.711689045887121,7.760449657290001,5.18272002011735,6.700340030700203,5.179888996856892,6.755614843894177,5.137044388726848,6.833584853044645,5.124733148031678,6.760712871401329,5.154104422259805,6.927291239340474,5.127882167993003,6.949866287351593,5.224712321300381,6.689559756301519,5.1667254492147086,6.842466789906419,5.170370253506087,6.914627645898053,5.264974429907389,6.841588208055872,5.1731438036786015,6.878052358552226,5.275921474229421,6.827750919372078,5.237838921957459,6.970813330702894,5.319362918272714,6.963532365213229,5.326192110579536,7.046098784198911,5.402826473412925,7.058566386305441,5.391770798638957,6.976971663827971,5.301592997367809,6.790117579182302,5.326448528971894,6.950428729920875,5.355150336461352,7.042860046146423,5.406364541969553,6.944872638371986,5.339695128384016,7.042584456796721,5.542985019304895,6.9943841048113,5.507147706897055
3,7.743534328430656,7.413435298086004,8.375792615995632,5.713822825854978,7.4447894659568,5.6202774805738445,7.432284317617341,5.698634772900715,7.459380682997816,5.814542833542983,7.525050546240618,5.729211087258447,7.54090932410533,5.815984713320701,7.288004657414954,5.829774464992499,7.385742007278082,5.8125628540847485,7.512543896051842,5.869274897291172,7.385643636147807,5.893076966140445,7.608656244953786,5.876184299292155,7.612799096295214,5.99235635719552,7.366296813243956,5.741564643304081,7.445618486779881,5.95910217588311,7.484586971012626,6.012595726164762,7.65274002796083,6.024262763017061,7.518537776676688,6.030506487713745,7.639541025236835,6.009003342382167,7.562891141636165,6.054839708947189,7.647466284083569,5.901339196211456,7.6175997576375645,6.036719265363075,7.652396104467196,6.036632739944964,7.666346031849779,6.047932201663391,7.628166769433209,6.007459147876462
4,8.19511789036548,8.285063307806357,8.676209036759504,5.918298178161217,7.959742057980515,6.002967405003429,8.051519318828433,5.883291383452764,7.770648716002937,5.928982488366943,8.043946994571234,5.992495303122414,7.98486048781027,6.054110874403392,7.993348940150944,6.052668363053279,8.069796825018454,6.131153864576328,8.034265322948066,6.025839799287304,8.115412494329016,6.123433523620202,8.056716468390517,6.095339920347101,7.862481545275591,6.192322282601667,8.055600594347856,6.107726949729668,7.923485162689929,6.233458487403315,8.123280682901697,6.238490224674049,8.095178829403373,6.255982253725167,8.086975728432963,6.278543282818322,8.229827880859375,6.370933482189053,8.106535063015194,6.254379954559125,8.131173651988112,6.382805780069718,8.161767824428289,6.309153070512987,8.170854763721856,6.409756237307922,8.178444359246202,6.333524817662524,8.189362052857406,6.444660085715996
5,9.059378105824388,8.298381906471507,9.423327258252725,6.56816533069737,8.766262174591304,6.653560865793797,8.679944886935978,6.488911837142036,8.74716165497547,6.695605903271809,8.692221003254568,6.7398260760781,8.864073115070974,6.673758550984971,8.782690904271885,6.733499615397675,8.884885742908388,6.80227658606523,8.734014466052919,6.78527718348219,8.79456527589813,6.83520550759423,8.860606846846933,6.830800921711702,8.746705843707709,6.7981359974438,8.721371898500937,6.83596402604059,8.919938905971257,6.86330795288086,8.941172802542138,6.9078249647127885,8.718389976681687,6.896524239849572,8.701961997925766,6.918117700033631,8.929228594922645,6.932003450709464,8.876202050156481,6.869761359612674,8.854821723277174,6.884095526688936,8.978151336429626,6.921582506192442,8.920059053916631,6.974444484079122,8.862535221370186,6.9747836384552215,8.999048067828802,6.95267797305884
6,9.521066860889825,8.478054779254839,9.711954161876768,7.143999567095019,9.493379517803042,7.227703751317714,9.504480437030942,7.214798200998875,9.57124890304926,7.204468834479124,9.579306324635905,7.224818728617486,9.632530362587277,7.314917583339263,9.548893125038449,7.316358831544586,9.530933259979008,7.4060610588023215,9.65109847662017,7.317448293925912,9.265991271011472,7.451335957508214,9.54995493250569,7.357431879106738,9.570298232431488,7.415874430675381,9.686264278381827,7.48959029747161,9.713477788009042,7.464588241071891,9.680472396490142,7.506208861900482,9.751458806315744,7.48675074798382,9.65738897248516,7.408467981199556,9.668313424418292,7.406022532886229,9.726623475082278,7.559809779489278,9.61188969649668,7.5396000944226,9.704264693372831,7.480739441928486,9.735060864546169,7.549688831859868,9.64723271647776,7.597864542575863,9.790902625857376,7.502526794837801
7,10.646227588803749,8.356708248719476,10.375884949691653,7.963018859459076,10.512919688787983,7.950436042634069,10.521267718217503,8.083371295044754,10.529753166859544,8.097155994137392,10.551527729184608,8.086939679076341,10.629317516417014,8.027691241131715,10.410346384123557,8.003988329148452,10.639159885917122,8.113946346257697,10.562778082419568,8.118100197899421,10.451957372229868,8.064690015173907,10.691670545442836,8.12742283802159,10.645478916919137,8.051945515815786,10.607256851797027,8.120275333227703,10.332244212233176,8.119654497563445,10.717848529965858,8.058967337703075,10.340788983923243,8.08358792437623,10.520160855270746,8.086245581014268,10.567297897939609,8.03531116207704,10.526313931923212,8.094863386343647,10.503732125590169,8.093698766847321,10.582673080324188,8.083529819715892,10.39584452711691,8.107831462329587,10.505727332408034,8.076857888935418,10.64515301561731,8.117033472124316
8,12.853584890290508,8.285269200407118,11.306128163975991,8.25206491331391,11.695394741268608,8.297493915684177,11.809262703722856,8.236300866335434,11.714779861330047,8.269468522229733,11.66184042382428,8.290157570744194,11.441914115365096,8.29359900872439,11.493757202869324,8.285962666896795,11.855714903103085,8.305949406908049,11.510323351762429,8.257804011667012,11.471478770098347,8.27816590568088,12.150463344543937,8.305603936808,11.45687779103677,8.261386921863684,11.545876630647914,8.293484062548506,11.596202850341797,8.251123870445404,11.808806141530434,8.114504656254852,11.937932142122524,8.30549467478367,11.563199711596871,8.273596479403263,11.582198105459138,8.29928189713434,11.591832468828818,8.25467457044993,11.686129081906296,8.291693554808763,11.625482153704786,8.27009062103878,11.796877703328772,8.290309779691382,11.399742186538816,8.317430129903832,11.768426669864205,8.230578188864602
9,12.851006215012918,8.465009019864317,12.964858408049336,8.4018284121886,12.892928836852546,8.419079812157234,12.775820634496494,8.37240850688606,12.918041259285031,8.313595222321569,12.626173364834523,8.366995299888764,12.82078600305272,8.39946380514183,12.855191869059883,8.34506584319058,12.701869574118788,8.366253202324673,12.670357771745817,8.381622516556293,12.717155396468996,8.355703417039077,12.718933586060531,8.396227628189997,12.856312248650498,8.360152212989252,12.768177723321388,8.404629435760297,12.692817928284173,8.33428932341519,12.881292508343073,8.36741655867621,12.71773811400406,8.371849565316511,12.889304874450202,8.372272718821142,12.709073945293277,8.356682985823676,12.574698230413,8.365854048571052,12.9327113234152,8.40588752797108,12.66164254015825,8.366719302752161,12.608142161932516,8.347727289262988,12.90093369371309,8.34646351290065,12.865900054691345,8.367813186140252
