Round,Gas Used (Update Scores),Latency (seconds),Transaction Hash,Gas Price (Gwei),Block Size (bytes),Transaction Count
1,318505,7.715,0xb8e2598f328fcd7191050c925a642c1ac92bc23f4a70e227e6e64a6cac412b74,87.633600018,N/A,3
2,458541,6.513,0xae9cec7f158a3fc77f3a702cac364b66905cb8a232b83d490fedc88b97b01a37,91.285000015,N/A,3
3,458553,6.537,0xa3f71de70218bd193ccb15773e9f79f0e1bbc1ffc211f88cc22099d42ba12271,73.028000015,N/A,3
4,458529,10.627,0xa445971e1323ef13e922ef72986383b56d9440183d1a56c0de4fe2ef16031ff1,73.028000015,N/A,6
5,458541,6.268,0xf97b5773a71a88e1e4db7679834ac17fb5c86cd5de0dda3825d646b32dc80527,87.633600018,N/A,2
6,458553,6.414,0xe76a82c2f577935a94d0e62245049f64b8f93fd0ea4a98a51e70e279e6e46430,73.028000015,N/A,2
7,458505,6.381,0x251e9407593e7a483aad790491d45ca946ca3a8d0031da4894a2dcf95704d5f1,70.409960017,N/A,3
8,458565,6.617,0x3279a0f8c2ad63b70f7cc2e1821bf094d1504a6da38c6a363d02128bc19d1a58,73.028000015,N/A,3
9,458529,6.284,0x454a10d524f2323c9b4f3d479f7da37f2ea35319e407f648c5de69a966c447e6,70.837160015,N/A,1
10,458565,6.335,0x431109c8a7cbf01ce46cefb59e9984c4e6405f202973ebd79beb390b08001a0a,70.837160015,N/A,2
11,458529,6.250,0xae176a38cf62a888911e8d75fed42d7fce06742295b1bf408d750e70354e5a83,70.837160015,N/A,3
12,458553,6.076,0x16cbc0034254c368229cd2952cc535d1195a1fe241881b05d3b02334cdcfce53,200.0,N/A,4
13,458505,6.683,0x5c72cb9089ad08eb95d40d220119dd380e06af484e19a9e81341dc85184598f1,73.028000015,N/A,4
14,458529,6.237,0x628440c60cb5de1b751917732a4088a69b13ba4a762188e334dcb20f55b38069,109.542000022,N/A,5
15,458553,6.740,0xe98a0ee26c7ffa0e824a67a5f00ff7bb7bea2d095fa5f57a20945c8bc54f3531,68.712045215,N/A,4
